unitid,weightedEnrollment,totalEnrollment,locale,InstControl,cbsatype,TotalRate,UGaidrate,FallNonResRate,FallResRate,FallDistRate,ResCost,NonResCost,AvgSalary,TotalStaff,SalariesPaid,staffperstu
142328,-392.8655721,394,1,Public,1,35.79,50.29,24.17,75.83,,6982,20238,61055.769784,139,8486752,0.35
142461,-528.8655721,258,2,Private not-for-profit,1,62.4,90.3,,,,33740,33740,59445.433333,60,3566726,0.23
142522,733.13442791,1520,3,Private not-for-profit,2,50.59,39.33,,,,4416,4416,110277.77778,18,1985000,0.01
142887,-728.8655721,58,1,Private for-profit,1,56.9,60.36,,,,35800,35800,35824.75,8,286598,0.14
142957,-784.8655721,2,1,Private not-for-profit,1,50,100,,,,7500,7500,78419.25,4,313677,2
143048,-223.8655721,563,1,Private not-for-profit,1,65.01,90.02,,,,49663,49663,100398.86928,153,15361027,0.27
143084,-108.8655721,678,1,Private not-for-profit,1,78.61,99.58,,,,46039,46039,73004.115183,191,13943786,0.28
143118,-161.8655721,625,2,Private not-for-profit,1,55.36,93.87,,,,26400,26400,73311.519685,127,9310563,0.2
143288,-627.8655721,159,3,Private not-for-profit,1,45.91,95.93,,,,25570,25570,56981.294118,34,1937364,0.21
143358,137.13442791,924,1,Private not-for-profit,1,75.76,96.59,,,,35940,35940,82253.485623,313,25745341,0.34
144005,-624.8655721,162,1,Public,1,20.99,60.47,4.86,84.03,11.11,7488,7488,76422.194245,139,10622685,0.86
144050,748.13442791,1535,1,Private not-for-profit,1,95.9,54.31,,,,59256,59256,162211.47518,1370,222229721,0.89
144281,977.13442791,1764,1,Private not-for-profit,1,50.85,93.3,,,,26610,26610,78719.252033,246,19364936,0.14
144351,-494.8655721,292,2,Private not-for-profit,1,42.81,81.73,,,,33310,33310,20807.156627,166,3453988,0.57
144740,1727.1344279,2514,1,Private not-for-profit,1,69.57,88.24,,,,41361,41361,105749.91357,833,88089678,0.33
144883,-619.8655721,167,1,Private not-for-profit,1,12.57,97.37,,,,21600,21600,62825.666667,9,565431,0.05
144892,291.13442791,1078,3,Public,2,50.74,62.06,1.46,98.54,,9207,11461,76659.416431,353,27060774,0.33
144962,-308.8655721,478,2,Private not-for-profit,1,68.41,95.95,,,,39100,39100,73850.02439,164,12111404,0.34
144971,-622.8655721,164,3,Private not-for-profit,1,51.83,96.67,,,,27450,27450,50865.212121,33,1678552,0.2
145372,-526.8655721,260,3,Private not-for-profit,1,48.46,85.54,,,,29260,29260,51006.8125,32,1632218,0.12
145600,2668.1344279,3455,1,Public,1,62.26,66.2,8.19,91.81,,12253,27020,120375.92506,1321,159016597,0.38
145619,-338.8655721,448,2,Private not-for-profit,1,46.65,90.56,,,,30773,30773,78788.704918,122,9612222,0.27
145637,6766.1344279,7553,1,Public,1,84.88,64.53,24.79,75.21,,14446,34444,120536.96976,2249,271087645,0.3
145646,-336.8655721,450,1,Private not-for-profit,1,81.11,100,,,,52308,52308,77079.363636,110,8478730,0.24
145691,-547.8655721,239,3,Private not-for-profit,2,64.02,97.92,,,,34752,34752,66376.16,75,4978212,0.31
145725,-310.8655721,476,1,Private not-for-profit,1,71.43,93.21,,,,48555,48555,122808.74183,306,37579475,0.64
145813,2831.1344279,3618,2,Public,1,67.27,78.67,1.14,98.86,,10932,21136,78047.803159,823,64233342,0.23
146339,-641.8655721,145,1,Private not-for-profit,1,66.9,85.95,,,,28840,28840,57204.464286,28,1601725,0.19
146427,-400.8655721,386,3,Private not-for-profit,2,75.13,98.87,,,,50784,50784,63244.066038,106,6703871,0.27
146481,-430.8655721,356,2,Private not-for-profit,1,73.03,99.3,,,,50100,50100,76723.504673,107,8209415,0.3
146612,-91.86557209,695,2,Private not-for-profit,1,60.29,89.76,,,,35262,35262,86963.484979,233,20262492,0.34
146676,-754.8655721,32,3,Private not-for-profit,2,21.88,82.32,,,,18700,18700,48147.533333,30,1444426,0.94
146719,1407.1344279,2194,1,Private not-for-profit,1,71.97,90.82,,,,46410,46410,100459.46841,728,73134493,0.33
147013,-444.8655721,342,2,Private not-for-profit,1,55.56,97.41,,,,31700,31700,63139.183099,71,4482882,0.21
147129,-777.8655721,9,1,Private not-for-profit,1,55.56,68.76,,,,16248,16248,60646.918919,37,2243936,4.11
147341,-516.8655721,270,3,Private not-for-profit,3,55.19,100,,,,41240,41240,61142.36,75,4585677,0.28
147369,-388.8655721,398,1,Private not-for-profit,1,53.02,85.33,,,,11840,11840,77629.152778,72,5589299,0.18
147660,-187.8655721,599,1,Private not-for-profit,1,64.44,99.15,,,,42026,42026,77969.387755,147,11461500,0.25
147679,-428.8655721,358,1,Private not-for-profit,1,61.17,96.21,,,,32380,32380,70355.741071,112,7879843,0.31
147703,1448.1344279,2235,2,Public,1,50.78,90.17,,100,,9608,9608,85311.381232,682,58182362,0.31
147767,1225.1344279,2012,1,Private not-for-profit,1,95.23,57.32,,,,60276,60276,163111.10554,1497,244177325,0.74
147776,-80.86557209,706,1,Public,1,21.39,62.99,,97.73,,10091,20182,79273.68797,266,21086801,0.38
147828,-56.86557209,730,2,Private not-for-profit,1,63.84,96.5,,,,36450,36450,65272.514563,103,6723069,0.14
