unitid,weightedEnrollment,totalEnrollment,locale,InstControl,cbsatype,TotalRate,UGaidrate,FallNonResRate,FallResRate,FallDistRate,ResCost,NonResCost,AvgSalary,TotalStaff,SalariesPaid,staffperstu
155025,-55.86557209,731,3,Public,2,49.93,76.96,7.3,92.7,,5278,13195,61594.295238,210,12934802,0.29
155061,74.134427912,861,3,Public,2,50.75,41.84,16.5,83.5,,4140,14580,67644.762658,316,21375745,0.37
155070,-753.8655721,33,4,Private not-for-profit,3,57.58,100,,,,18000,18000,41906.333333,12,502876,0.36
155089,-622.8655721,164,1,Private not-for-profit,1,40.24,86.14,,,,30264,30264,60039.166667,36,2161410,0.22
155177,-774.8655721,12,3,Private not-for-profit,1,75,98.89,,,,29252,29252,46189.714286,21,969984,1.75
155317,3240.1344279,4027,1,Public,1,66.03,69.54,40.13,59.87,,10092,26960,99472.096958,1052,104644646,0.26
155335,-628.8655721,158,1,Private not-for-profit,1,62.66,56.31,,,,32400,32400,62721.682927,41,2571589,0.26
155399,2769.1344279,3556,1,Public,1,68.42,73.21,22.97,77.03,,9489,25560,86063.376197,731,62912328,0.21
155414,-628.8655721,158,3,Private not-for-profit,2,39.24,100,,,,31020,31020,53522,46,2462012,0.29
155511,-594.8655721,192,3,Private not-for-profit,2,52.6,94.63,,,,31396,31396,65182.775,40,2607311,0.21
155520,-601.8655721,185,2,Private not-for-profit,1,45.41,71.77,,,,33090,33090,60912.47619,21,1279162,0.11
155627,-634.8655721,152,3,Private not-for-profit,2,33.55,100,,,,33380,33380,60731.833333,18,1093173,0.12
155681,223.13442791,1010,3,Public,2,51.88,79.3,1.51,98.49,,5836,17180,65146.42562,242,15765435,0.24
155812,-651.8655721,135,3,Private not-for-profit,1,46.67,91.48,,,,30580,30580,53731.828571,35,1880614,0.26
155900,-697.8655721,89,3,Private not-for-profit,2,40.45,66.75,,,,34750,34750,59480.787879,33,1962866,0.37
155973,-636.8655721,150,3,Private not-for-profit,3,48,95.39,,,,33400,33400,49861.875,24,1196685,0.16
156082,-107.8655721,679,1,Public,1,51.1,75.86,2.24,97.76,,8762,19766,70931.320755,212,15037440,0.31
156125,480.13442791,1267,1,Public,1,47.67,59.32,23.3,76.7,,6843,16208,76574.656174,413,31625333,0.33
156189,-595.8655721,191,4,Private not-for-profit,3,29.32,98.07,,,,12000,12000,46200.689655,29,1339820,0.15
156213,-475.8655721,311,3,Private not-for-profit,1,64.95,85.5,,,,32084,32084,58853.097222,72,4237423,0.23
156286,-79.86557209,707,1,Private not-for-profit,1,65.21,97.51,,,,42970,42970,75620.076271,118,8923169,0.17
156295,-356.8655721,430,3,Private not-for-profit,2,65.58,100,,,,42900,42900,74046.858108,148,10958935,0.34
156356,-649.8655721,137,1,Private not-for-profit,1,49.64,17.36,,,,26000,26000,52117.948718,39,2032600,0.28
156365,-320.8655721,466,3,Private not-for-profit,2,37.34,42.3,,,,24900,24900,56711.690265,113,6408421,0.24
156408,-412.8655721,374,3,Private not-for-profit,2,86.36,99.1,,,,46000,46000,76888.13986,143,10995004,0.38
156620,1651.1344279,2438,3,Public,2,52.09,77.47,14.69,85.27,,9452,19724,65480.095445,461,30186324,0.19
156745,-504.8655721,282,3,Private not-for-profit,1,56.38,97.39,,,,40210,40210,58645.329114,79,4632981,0.28
157030,-774.8655721,12,4,Private not-for-profit,3,58.33,100,,,,8850,8850,3691.6666667,3,11075,0.25
157058,-616.8655721,170,3,Public,2,38.82,72.86,60.53,39.47,,7700,11550,63682.7625,80,5094621,0.47
157076,-605.8655721,181,1,Private not-for-profit,1,45.86,97.07,,,,28400,28400,50593.044444,45,2276687,0.25
157085,4326.1344279,5113,1,Public,1,67.85,88.34,32.42,67.58,,11247,30245,100859.46298,1013,102170636,0.2
157100,-679.8655721,107,3,Private not-for-profit,1,36.45,83.83,,,,21530,21530,42525.52381,21,893036,0.2
157216,-274.8655721,512,3,Private not-for-profit,3,40.23,99.38,,,,25440,25440,58200.52381,63,3666633,0.12
157377,-740.8655721,46,4,Private not-for-profit,1,60.87,93.99,,,,24500,24500,58208.242424,33,1920872,0.72
157386,585.13442791,1372,3,Public,3,44.97,80.81,9.44,90.56,,9082,13726,59785.912879,264,15783481,0.19
157401,664.13442791,1451,3,Public,2,56.03,92.5,36.49,63.51,,8040,17316,64574.432,375,24215412,0.26
157447,1247.1344279,2034,2,Public,1,49.85,83.63,33.98,66.02,,10008,20064,74033.375502,498,36868621,0.24
157535,-515.8655721,271,3,Private not-for-profit,3,32.84,94.66,,,,22500,22500,59802.893939,66,3946991,0.24
157809,-519.8655721,267,2,Private not-for-profit,1,51.31,76.64,,,,33060,33060,60145.259259,81,4871766,0.3
157818,-478.8655721,308,1,Private not-for-profit,1,73.38,99.48,,,,40800,40800,69745.885057,87,6067892,0.28
157863,-573.8655721,213,3,Private not-for-profit,2,37.09,93.14,,,,27119,27119,44732.756098,41,1834043,0.19
157951,1927.1344279,2714,1,Public,1,57.92,82.28,24.03,75.97,,10992,27000,67945.806723,595,40427755,0.22
158477,-629.8655721,157,1,Private not-for-profit,1,56.69,99.09,,,,38060,38060,70782.555556,54,3822258,0.34
159009,-169.8655721,617,3,Public,2,28.85,94.17,7.12,92.88,,5140,5140,54270.803922,153,8303433,0.25
159382,-539.8655721,247,4,Public,1,27.94,71.4,11.45,88.32,,4984,4984,55155.662651,83,4577920,0.34
159391,4821.1344279,5608,1,Public,1,68.99,81.63,26.74,73.26,,8038,8038,93207.756641,1167,108773452,0.21
159416,-439.8655721,347,1,Public,1,37.75,72.19,,100,,5656,5656,77964.805369,149,11616756,0.43
159568,-581.8655721,205,2,Private not-for-profit,1,27.32,86.64,,,,17850,17850,53904.018868,53,2856913,0.26
159647,1057.1344279,1844,3,Public,2,59.54,93.06,9.74,89.72,,6401,13142,72731.608571,350,25456063,0.19
159656,-126.8655721,660,1,Private not-for-profit,1,62.12,92.14,,,,41698,41698,79671.383784,185,14739206,0.28
159717,549.13442791,1336,1,Public,1,42.22,89.22,,100,,5147,13185,65187.182609,230,14993052,0.17
159939,118.13442791,905,1,Public,1,38.9,65.71,4.26,95.74,,6090,10926,75572.910112,267,20177967,0.3
159966,338.13442791,1125,1,Public,1,51.29,87.99,1.77,98.23,,4922,6015,57348.385281,231,13247477,0.21
159993,587.13442791,1374,1,Public,1,53.57,73.26,7.48,92.52,,5788,17888,60858.575875,257,15640654,0.19
160038,376.13442791,1163,3,Public,2,45.14,89.16,2.5,97.5,,5180,15968,58897.025,240,14135286,0.21
160065,-703.8655721,83,1,Private not-for-profit,1,30.12,66.45,,,,14160,14160,68157.25,68,4634693,0.82
160612,1489.1344279,2276,1,Public,1,37.65,71.21,1.93,98.07,,5777,18255,61798.270492,488,30157556,0.21
160630,-607.8655721,179,1,Public,1,18.99,74.91,7.19,92.81,,4483,13384,62305.911392,79,4922167,0.44
160658,2359.1344279,3146,1,Public,1,50.13,83.31,4.77,90.77,2.04,5407,19135,76201.655766,581,44273162,0.18
160755,931.13442791,1718,1,Private not-for-profit,1,85.97,74.09,,,,56684,56684,110653.22661,759,83985799,0.44
160904,-230.8655721,556,1,Private not-for-profit,1,49.82,89.15,,,,23411,23411,78587.259259,189,14852992,0.34
160977,-270.8655721,516,1,Private not-for-profit,1,91.67,40.19,,,,59062,59062,100018.31522,184,18403370,0.36
161004,-288.8655721,498,3,Private not-for-profit,1,93.78,55.77,,,,57776,57776,115783.73991,223,25819774,0.45
161086,-278.8655721,508,3,Private not-for-profit,2,86.61,41.58,,,,58640,58640,104343.79283,251,26190292,0.49
161217,-610.8655721,176,3,Public,2,15.34,50.16,11.58,88.42,,7350,18210,66423.546392,97,6443084,0.55
161226,-339.8655721,447,3,Public,3,55.48,91.79,15.82,84.18,,8640,19830,68358,110,7519380,0.25
161235,-694.8655721,92,4,Public,3,44.57,39.69,31.03,68.97,,7350,11760,62683.481481,27,1692454,0.29
161253,1335.1344279,2122,2,Public,1,56.93,86.94,42.24,57.76,,11640,33240,91197.126214,515,46966520,0.24
161341,-610.8655721,176,4,Public,3,35.8,49.56,23.21,76.79,,7350,11760,70965.310345,29,2057994,0.16
161457,-211.8655721,575,2,Private not-for-profit,1,66.09,67.87,,,,38420,38420,76337.383117,154,11755957,0.27
161509,-677.8655721,109,1,Private not-for-profit,1,44.04,98.95,,,,37960,37960,57984.28,25,1449607,0.23
161518,-523.8655721,263,4,Private not-for-profit,1,68.44,66.14,,,,39986,39986,56913.061224,49,2788740,0.19
161554,-125.8655721,661,1,Public,1,34.49,71.5,21.26,78.74,,8064,22041,84707.467857,280,23718091,0.42
161563,-527.8655721,259,4,Private not-for-profit,2,51.35,46.22,,,,28110,28110,64904.454545,33,2141847,0.13
162007,-227.8655721,559,2,Public,1,41.86,66.06,22.47,77.53,,5760,16500,80550.861905,210,16915681,0.38
162760,-530.8655721,256,1,Private not-for-profit,1,66.02,96.71,,,,42510,42510,71714.173469,98,7027989,0.38
162928,571.13442791,1358,1,Private not-for-profit,1,94.62,57.67,,,,58720,58720,150661.97495,958,144334172,0.71
163268,755.13442791,1542,2,Public,1,70.95,64.95,9.44,90.56,,8878,25068,94932.581448,442,41960201,0.29
163286,3167.1344279,3954,2,Public,1,87.81,53.02,26.19,73.81,,9000,36683,120529.6546,1326,159822322,0.34
163338,224.13442791,1011,3,Public,1,33.33,82.65,19.31,69.31,5.36,5526,16145,77182.891473,129,9956593,0.13
163453,372.13442791,1159,1,Public,1,43.92,82.55,51.33,48.67,,5477,15949,84430.591463,328,27693234,0.28
163462,-280.8655721,506,3,Private not-for-profit,1,61.46,94.69,,,,43250,43250,73961.13913,115,8505531,0.23
164173,-52.86557209,734,4,Private not-for-profit,1,59.26,88.73,,,,35504,35504,73638.609195,87,6406559,0.12
164216,-395.8655721,391,3,Private not-for-profit,3,74.94,97.34,,,,48678,48678,70749,89,6296661,0.23
164270,-357.8655721,429,2,Private not-for-profit,1,65.03,99.45,,,,46336,46336,66481.07874,127,8443097,0.3
164447,-449.8655721,337,1,Private not-for-profit,1,42.43,95.08,,,,39370,39370,69679.219512,41,2856848,0.12
164465,-311.8655721,475,2,Private not-for-profit,1,92.42,63.55,,,,60700,60700,121414.01873,267,32417543,0.56
164492,-554.8655721,232,4,Private not-for-profit,1,47.84,94.76,,,,37658,37658,58976.5,44,2594966,0.19
164562,-216.8655721,570,1,Private not-for-profit,1,71.58,97.29,,,,45100,45100,77039.880952,126,9707025,0.22
164580,-261.8655721,525,2,Private not-for-profit,1,93.71,52.1,,,,54944,54944,156720.75275,182,28523177,0.35
164641,-731.8655721,55,1,Private for-profit,1,12.73,100,,,,28500,28500,77794.285714,7,544560,0.13
164739,128.13442791,915,1,Private not-for-profit,1,87.98,75.03,,,,54910,54910,136013.18421,266,36179507,0.29
164748,220.13442791,1007,1,Private not-for-profit,1,69.41,80.55,,,,45468,45468,92372.9941,339,31314445,0.34
164924,1513.1344279,2300,1,Private not-for-profit,1,90.78,46.46,,,,60530,60530,143185.22045,880,126002994,0.38
164988,2817.1344279,3604,1,Private not-for-profit,1,89.35,50.39,,,,58560,58560,139152.82384,1493,207755166,0.41
165015,15.134427912,802,1,Private not-for-profit,1,87.53,83.02,,,,59408,59408,123851.97826,368,45577528,0.46
165024,704.13442791,1491,2,Public,1,62.44,59.79,7.19,83.67,,910,7050,87754.576923,338,29661047,0.23
165334,-121.8655721,665,1,Private not-for-profit,1,78.95,94.49,,,,49950,49950,102508.82096,229,23474520,0.34
165529,-186.8655721,600,2,Private not-for-profit,1,54.5,99.95,,,,41240,41240,92786.213592,103,9556980,0.17
165644,-677.8655721,109,2,Private not-for-profit,1,56.88,97.6,,,,29706,29706,53808.235294,17,914740,0.16
165662,127.13442791,914,1,Private not-for-profit,1,78.77,75.92,,,,50360,50360,93795.049107,224,21010091,0.25
165671,-231.8655721,555,1,Private not-for-profit,1,70.27,95.21,,,,43152,43152,85087.443396,106,9019269,0.19
165699,-1.865572088,785,2,Private not-for-profit,1,78.22,86.25,,,,35764,35764,101271.14815,108,10937284,0.14
165820,-5.865572088,781,2,Public,1,57.11,62.57,9.82,90.18,,970,7050,84395.554974,191,16119551,0.24
165866,56.134427912,843,1,Public,1,50.53,58.38,10.56,89.11,0.33,970,7050,85750.446927,179,15349330,0.21
166018,-416.8655721,370,2,Private not-for-profit,1,62.43,100,,,,51000,51000,81064.146341,41,3323630,0.11
166027,871.13442791,1658,1,Private not-for-profit,1,96.74,42.92,,,,51143,51143,184588.46043,1390,256577960,0.84
166054,-755.8655721,31,2,Private not-for-profit,1,58.06,100,,,,21940,21940,48582.75,12,582993,0.39
166124,-48.86557209,738,1,Private not-for-profit,1,92.55,63.64,,,,55800,55800,103088.02288,306,31544935,0.41
166391,-297.8655721,489,1,Private not-for-profit,1,66.67,95.58,,,,40350,40350,75673.044118,68,5145767,0.14
166452,-414.8655721,372,1,Private not-for-profit,1,60.48,88.34,,,,29200,29200,76607.08642,81,6205174,0.22
166513,804.13442791,1591,2,Public,1,69.14,62.79,10.69,89.31,,15078,33004,110788.60256,624,69132088,0.39
166629,3855.1344279,4642,2,Public,1,83.84,80.21,26.35,73.65,,15791,36316,116542.71509,1418,165257570,0.31
166638,745.13442791,1532,1,Public,1,49.02,78.83,11.04,88.96,,14187,34649,100662.54723,667,67141919,0.44
166656,-315.8655721,471,1,Private not-for-profit,1,64.97,94.48,,,,34700,34700,95346.83871,31,2955752,0.07
166674,-494.8655721,292,1,Public,1,73.97,88.64,26.89,73.11,,1030,26630,86930.403361,119,10344718,0.41
166683,319.13442791,1106,1,Private not-for-profit,1,96.2,99.93,,,,55510,55510,196636.79536,1251,245992631,1.13
166911,-705.8655721,81,2,Private not-for-profit,1,62.96,100,,,,34800,34800,60000,18,1080000,0.22
166939,-274.8655721,512,2,Private not-for-profit,1,84.96,99.63,,,,56300,56300,95527.75,216,20633994,0.42
167288,-517.8655721,269,3,Public,1,58.36,96,37.65,62.35,,1030,9975,79523.135802,81,6441374,0.3
167358,2002.1344279,2789,1,Private not-for-profit,1,90.57,63.78,,,,56500,56500,132834.0624,1282,170293268,0.46
167394,-604.8655721,182,2,Private not-for-profit,1,68.13,92.72,,,,37605,37605,66621.045455,44,2931326,0.24
167598,-520.8655721,266,2,Private not-for-profit,1,60.9,80.12,,,,44809,44809,76613.068966,58,4443558,0.22
167783,-315.8655721,471,1,Private not-for-profit,1,70.7,97.12,,,,41872,41872,86509.375,8,692075,0.02
167835,-177.8655721,609,2,Private not-for-profit,1,90.97,69.77,,,,55830,55830,111606.0363,303,33816629,0.5
167899,-240.8655721,546,1,Private not-for-profit,1,73.08,98.99,,,,39170,39170,69864.740541,185,12924977,0.34
167987,617.13442791,1404,2,Public,1,54.13,85.9,9.87,90.13,,13833,29578,103138.61818,385,39708368,0.27
167996,-130.8655721,656,2,Private not-for-profit,1,84.6,98.19,,,,47808,47808,86310.462857,175,15104331,0.27
168005,533.13442791,1320,1,Private not-for-profit,1,60.23,91.99,,,,41242,41242,107147.99706,340,36430319,0.26
168148,570.13442791,1357,2,Private not-for-profit,1,93.81,41.12,,,,61646,61646,120225.03484,574,69009170,0.42
168218,-193.8655721,593,2,Private not-for-profit,1,92.07,65.31,,,,60424,60424,113747.42415,323,36740418,0.54
168227,176.13442791,963,1,Private not-for-profit,1,71.75,88.87,,,,37050,37050,86423.257862,159,13741298,0.17
168254,-67.86557209,719,1,Private not-for-profit,1,63.14,93.61,,,,37700,37700,87766.857923,183,16061335,0.25
168263,504.13442791,1291,2,Public,1,60.57,56.92,4.81,82.79,,970,7050,88675.671498,207,18355864,0.16
168281,-369.8655721,417,2,Private not-for-profit,1,72.9,98.74,,,,57700,57700,80956.576923,130,10524355,0.31
168342,-235.8655721,551,3,Private not-for-profit,1,93.83,57.61,,,,59350,59350,124085.97411,309,38342566,0.56
168421,306.13442791,1093,1,Private not-for-profit,1,87.19,95.18,,,,54640,54640,115086.74873,394,45344179,0.36
168430,16.134427912,803,1,Public,1,60.9,87.98,5.38,94.62,,970,7050,79832.004808,208,16605057,0.26
168546,-331.8655721,455,3,Private not-for-profit,1,64.4,99.4,,,,52570,52570,65835.322581,124,8163580,0.27
168591,-450.8655721,336,3,Private not-for-profit,2,62.8,98.4,,,,43602,43602,72216.05618,89,6427229,0.26
168786,-418.8655721,368,1,Private not-for-profit,1,60.33,90.67,,,,35384,35384,59000.666667,81,4779054,0.22
168847,-308.8655721,478,3,Private not-for-profit,1,18.83,77.32,,,,12180,12180,58105.261905,42,2440421,0.09
169080,151.13442791,938,1,Private not-for-profit,1,77.29,94.5,,,,37990,37990,80385.759162,191,15353680,0.2
169248,2649.1344279,3436,3,Public,2,61.67,74.13,0.05,99.95,,12644,12644,90962.230032,626,56942356,0.18
169442,-527.8655721,259,1,Private not-for-profit,1,61.78,93.16,,,,46170,46170,98144.73913,46,4514658,0.18
169716,-283.8655721,503,1,Private not-for-profit,1,66.8,87.28,,,,30154,30154,98108.615385,208,20406592,0.41
169798,2059.1344279,2846,2,Public,1,48.21,67.78,,100,,13950,13950,87833.126623,616,54105206,0.22
169910,-161.8655721,625,3,Public,2,55.68,73.42,,100,,13188,13188,87269.658163,392,34209706,0.63
169983,-352.8655721,434,1,Private not-for-profit,1,69.59,90.24,,,,43824,43824,85221.333333,90,7669920,0.21
170037,-491.8655721,295,1,Private not-for-profit,1,60.34,89.6,,,,27040,27040,58428,60,3505680,0.2
170082,3304.1344279,4091,2,Public,1,67.1,74.15,10.36,89.64,,13900,19628,86407.305414,979,84592752,0.24
170091,-742.8655721,44,2,Private not-for-profit,1,29.55,87.06,,,,15750,15750,43659.125,8,349273,0.18
170301,-1.865572088,785,1,Private not-for-profit,1,80.64,95.66,,,,36300,36300,75851.594017,234,17749273,0.3
170532,-422.8655721,364,1,Private not-for-profit,1,76.37,99.45,,,,53976,53976,75863.807339,109,8269155,0.3
170639,-407.8655721,379,3,Public,2,53.83,77.53,,96.91,,12912,12912,62074.612903,93,5772939,0.25
170675,-446.8655721,340,1,Private not-for-profit,1,55.59,72.22,,,,36480,36480,71353.571429,112,7991600,0.33
170806,-611.8655721,175,1,Private not-for-profit,1,64,67.48,,,,24900,24900,64217.027397,73,4687843,0.42
170967,-665.8655721,121,2,Private not-for-profit,1,39.67,73.76,,,,25462,25462,56017.7,40,2240708,0.33
170976,5262.1344279,6049,1,Public,1,93.65,60.29,48.51,51.49,,16865,54769,135207.96758,2529,341940950,0.42
171100,7056.1344279,7843,1,Public,1,82.32,58.69,17.53,82.47,,15966,41290,112196.99049,1892,212276706,0.24
171128,488.13442791,1275,3,Public,2,69.1,97.23,22.89,77.11,,17903,39411,98205.530769,390,38300157,0.31
171137,172.13442791,959,1,Public,1,56.31,88.83,8.03,91.97,,13416,27648,96236.280967,331,31854209,0.35
171146,-199.8655721,587,1,Public,1,35.6,68.29,2.12,97.88,,11868,23604,87762.779343,213,18693472,0.36
171456,248.13442791,1035,3,Public,2,53.53,96.61,21.97,78.03,,12386,18008,75289.116608,283,21306820,0.27
171492,-450.8655721,336,1,Private not-for-profit,1,61.61,64.73,,,,29000,29000,59664.125,48,2863878,0.14
171571,1795.1344279,2582,2,Public,1,56.08,78.22,3.12,96.88,,15135,24735,87744.624595,618,54226178,0.24
171599,-548.8655721,238,4,Private not-for-profit,1,44.12,99.17,,,,30032,30032,57743.744681,47,2713956,0.2
172051,769.13442791,1556,2,Public,1,42.48,89.82,4.52,95.48,,11130,26144,74714.010989,273,20396925,0.18
172264,-484.8655721,302,3,Private not-for-profit,2,50.99,85.89,,,,27500,27500,58539.722222,72,4214860,0.24
172334,-496.8655721,290,2,Private not-for-profit,1,64.48,80.15,,,,30440,30440,59011.181818,33,1947369,0.11
172440,-645.8655721,141,3,Private not-for-profit,2,20.57,100,,,,23976,23976,49092.625,24,1178223,0.17
172644,1532.1344279,2319,1,Public,1,55.76,78.86,2.19,97.81,,13532,31060,103402.1104,779,80550244,0.34
172699,2163.1344279,2950,1,Public,1,56.27,90.17,24,76,,13334,16668,95404.100149,669,63825343,0.23
173045,-309.8655721,477,1,Private not-for-profit,1,58.07,95.68,,,,40277,40277,73826.533835,133,9818929,0.28
173124,-59.86557209,727,3,Public,2,47.59,62.95,,85.98,,8690,8690,80186.355932,177,14192985,0.24
173142,-652.8655721,134,1,Private not-for-profit,1,62.69,87,,,,27980,27980,64036.027027,37,2369333,0.28
173160,-171.8655721,615,2,Private not-for-profit,1,74.31,84.42,,,,39920,39920,70583.597403,154,10869874,0.25
173258,-295.8655721,491,3,Private not-for-profit,2,91.45,64.33,,,,59850,59850,113130.07173,237,26811827,0.48
173300,-266.8655721,520,2,Private not-for-profit,1,74.23,96.91,,,,27500,27500,67784.445255,137,9286469,0.26
173647,-175.8655721,611,3,Private not-for-profit,1,78.4,98.92,,,,49950,49950,70879.655738,183,12970977,0.3
173665,-276.8655721,510,1,Private not-for-profit,1,64.9,96.57,,,,44428,44428,73315.974576,118,8651285,0.23
173902,-204.8655721,582,1,Private not-for-profit,1,89.69,84.82,,,,60288,60288,98080.866995,203,19910416,0.35
173920,1592.1344279,2379,1,Public,1,51.83,57.17,17.14,82.72,,8072,17126,87995.98773,489,43030038,0.21
174020,-713.8655721,73,1,Public,1,38.36,83.36,3.54,96.46,,8281,8281,89033.763736,182,16204145,2.49
174066,4968.1344279,5755,1,Public,1,84.21,52.83,29.68,70.32,,13532,32096,116146.38156,1714,199074898,0.3
174075,-579.8655721,207,3,Public,1,56.04,44.86,,100,,10822,10822,73296.77193,57,4177916,0.28
174127,-641.8655721,145,1,Private not-for-profit,1,66.21,99.85,,,,41344,41344,72340.342857,35,2531912,0.24
174233,1200.1344279,1987,1,Public,1,64.67,61.18,14.82,85.18,,12420,17718,75551.989474,475,35887195,0.24
174251,-372.8655721,414,3,Public,3,57.73,85.36,23.6,76.4,,12584,14676,68603.122449,98,6723106,0.24
174358,-71.86557209,715,2,Public,1,56.92,70.17,31.42,68.58,,8096,16192,84421.689474,190,16040121,0.27
174437,-568.8655721,218,1,Private not-for-profit,1,59.63,87.8,,,,26350,26350,64272.809524,42,2699458,0.19
174747,-310.8655721,476,2,Private not-for-profit,1,76.68,99.76,,,,48990,48990,78313.418033,122,9554237,0.26
174783,993.13442791,1780,1,Public,1,47.19,55.43,14.27,85.73,,7839,16679,89428.68984,374,33446330,0.21
174792,-335.8655721,451,4,Private not-for-profit,1,78.71,99.36,,,,48990,48990,77828.438462,130,10117697,0.29
174817,-509.8655721,277,3,Private not-for-profit,2,56.68,87.06,,,,38780,38780,63659.527778,72,4583486,0.26
174844,-25.86557209,761,3,Private not-for-profit,2,85.02,97.8,,,,52670,52670,79797.16895,219,17475580,0.29
174899,-344.8655721,442,1,Private not-for-profit,1,65.16,85.09,,,,38750,38750,61940.364865,74,4583587,0.17
174914,633.13442791,1420,1,Private not-for-profit,1,78.1,95.74,,,,47274,47274,98910.520482,415,41047866,0.29
175005,-388.8655721,398,1,Private not-for-profit,1,60.05,78.78,,,,34638,34638,66350.830303,165,10947887,0.41
175078,-342.8655721,444,3,Public,2,47.75,23.12,,70.55,,8230,8230,85672.23,100,8567223,0.23
175272,829.13442791,1616,3,Public,2,63,74.13,33.49,66.51,,8100,14600,84165.272109,294,24744590,0.18
175342,-189.8655721,597,4,Public,3,41.88,84.35,,98.97,,7566,7566,55262.761062,113,6244692,0.19
175430,-731.8655721,55,4,Private not-for-profit,3,58.18,67.68,,,,17380,17380,50416.352941,34,1714156,0.62
175616,-465.8655721,321,3,Public,2,43.93,74.52,,100,,8190,8190,62055.666667,123,7632847,0.38
175856,435.13442791,1222,1,Public,1,38.95,87.63,64.65,35.35,,8270,8270,63197.517857,280,17695305,0.23
175980,-565.8655721,221,1,Private not-for-profit,1,61.54,99.25,,,,40140,40140,73433.477612,67,4920043,0.3
176017,3101.1344279,3888,3,Public,2,68.39,73.03,56.7,43.3,,8934,25776,82312.968481,698,57454452,0.18
176035,-553.8655721,233,3,Public,2,44.64,92.85,,100,,7656,7656,55962.009259,108,6043897,0.46
176044,-417.8655721,369,3,Public,2,27.1,93.27,,100,,7048,7048,54409.755814,86,4679239,0.23
176053,-193.8655721,593,2,Private not-for-profit,1,62.73,91.66,,,,18900,18900,71472.718391,174,12436253,0.29
176080,2667.1344279,3454,3,Public,2,59.73,89.54,43.65,56.35,,9110,24790,78842.111111,792,62442952,0.23
176372,725.13442791,1512,1,Public,1,51.79,88.46,27.79,69.47,,9094,11094,71070.439716,564,40083728,0.37
176406,-632.8655721,154,1,Private not-for-profit,1,33.77,80.97,,,,10258,10258,44132.295455,44,1941821,0.29
176479,-557.8655721,229,1,Private not-for-profit,1,60.26,46.89,,,,13500,13500,50198.275862,29,1455750,0.13
176628,-584.8655721,202,1,Private not-for-profit,1,39.11,89.04,,,,21740,21740,61119.844828,58,3544951,0.29
176664,-698.8655721,88,1,Private not-for-profit,1,30.68,96.04,,,,13990,13990,34413.384615,13,447374,0.15
176947,-511.8655721,275,3,Private not-for-profit,1,46.91,94.92,,,,25690,25690,58425.969231,65,3797688,0.24
176965,852.13442791,1639,3,Public,2,52.53,91.79,1.79,98.21,,7758,15495,70593.272727,385,27178410,0.23
177065,-452.8655721,334,1,Private not-for-profit,1,35.93,53.61,,,,11636,11636,68294.918033,61,4165990,0.18
177117,-717.8655721,69,3,Private not-for-profit,3,88.41,31.72,,,,21620,21620,61102,44,2688488,0.64
177144,-526.8655721,260,4,Private not-for-profit,2,48.85,92.24,,,,28000,28000,50773.340426,47,2386347,0.18
177418,-608.8655721,178,2,Private not-for-profit,1,61.24,95.1,,,,27700,27700,66145.428571,56,3704144,0.31
177542,-642.8655721,144,3,Private not-for-profit,2,36.11,75.23,,,,23715,23715,46196.617021,47,2171241,0.33
177551,-521.8655721,265,1,Public,1,18.87,91.5,64.04,35.96,,5424,10056,59883.589744,39,2335460,0.15
177746,-641.8655721,145,1,Private not-for-profit,1,62.07,99.71,,,,39975,39975,69292.732143,56,3880393,0.39
177940,-250.8655721,536,1,Public,1,26.87,64.64,35.33,64.1,,6720,13710,53462.755556,90,4811648,0.17
177968,429.13442791,1216,1,Private not-for-profit,1,53.13,88.7,,,,18540,18540,82965.765766,111,9209200,0.09
178059,-405.8655721,381,2,Private not-for-profit,1,73.23,81.41,,,,24766,24766,81118.889908,109,8841959,0.29
178244,-559.8655721,227,2,Private not-for-profit,1,41.85,34.35,,,,29076,29076,56724.613636,44,2495883,0.19
178369,-354.8655721,432,3,Private not-for-profit,2,25.23,79.33,,,,20500,20500,57748.75,8,461990,0.02
178387,-22.86557209,764,1,Public,1,37.57,70.57,21.08,78.92,,6900,14520,64141.51773,141,9043954,0.18
178396,5238.1344279,6025,1,Public,1,72.51,73.72,28.35,71.65,,10017,28992,104050.99775,888,92397286,0.15
178402,233.13442791,1020,1,Public,1,56.76,49.19,16.07,83.93,,9579,26331,89631.798295,352,31550393,0.35
178411,679.13442791,1466,3,Public,2,63.44,84.33,19.11,80.89,,9960,29550,101396.12618,317,32142572,0.22
178420,-289.8655721,497,2,Public,1,57.55,46.55,15.83,84.17,,12015,30570,83513.541806,299,24970549,0.6
178615,469.13442791,1256,3,Public,2,72.05,81.11,17.6,82.4,,8365,16086,64541.689655,261,16845381,0.21
178624,555.13442791,1342,3,Public,2,51.34,79.81,33.33,66.67,,5461,11528,67677.052402,229,15498045,0.17
178697,-442.8655721,344,3,Private not-for-profit,2,62.5,100,,,,19500,19500,69888.333333,96,6709280,0.28
179043,-468.8655721,318,1,Private not-for-profit,1,74.21,62.82,,,,39500,39500,67281.527778,144,9688540,0.45
179159,835.13442791,1622,1,Private not-for-profit,1,79.96,87.88,,,,48100,48100,96614.28795,639,61736530,0.39
179265,-598.8655721,188,1,Private not-for-profit,1,76.6,95.09,,,,30108,30108,73732.761905,21,1548388,0.11
